food_name,protein,carbs,fat,calories
sprouted soybean raw,9.2,6.7,4.7,85
soybean raw,67.9,56.1,37.1,830
vanilla soymilk light,6.4,9.4,2.1,83
chocolate soymilk,5.5,24.2,3.7,153
red cabbage raw,2.4,12.5,0.3,53
broccoli raab raw,1.3,1.1,0.2,9
serrano pepper,0.1,0.4,0.075,2
acorn squash raw,3.4,44.9,0.4,172
cabbage raw,3.6,16.2,0.3,70
sweet red peppers raw,1.5,9.0,0.4,46
navy bean sprouts raw,6.4,13.6,0.7,70
sweet potato leaves raw,0.9,3.1,0.2,15
sweet onion,2.6,25.0,0.3,106
hot chile pepper dried,0.054,0.3,0.054,2
japanese cabbage,2.4,8.5,0.2,45
hungarian pepper,0.2,1.8,0.1,8
chinese cabbage pe tsai raw,0.9,2.5,0.2,12
yam bean jicama,0.9,11.5,0.1,49
yellow corn raw,15.6,123.3,7.9,606
broccoli raw,2.6,6.0,0.3,31
sweet green peppers raw,1.3,6.9,0.3,30
new zealand spinach raw,0.8,1.4,0.1,8
onion raw,0.4,3.7,0.048,16
butternut squash raw,2.0,23.4,0.2,90
corn dried,4.1,18.8,3.0,119
sweet potato raw,2.0,26.2,0.002,112
green tomato,2.2,9.3,0.4,42
dried tomatoes,0.3,1.1,0.053,5
yellow tomato,2.1,6.3,0.6,32
spinach raw,0.9,1.1,0.1,7
lentil sprouts,6.9,17.0,0.4,82
carrots raw,0.6,5.8,0.1,25
red chili peppers,0.8,4.0,0.2,18
sweet corn white,2.4,13.9,0.9,63
split peas raw,48.4,118.9,2.3,672
baby carrots,0.031,1.2,0.053,5
sweet yellow peppers,1.9,11.8,0.4,50
corn raw,4.7,26.7,1.9,123
mustard cabbage,1.4,7.2,0.1,36
savoy cabbage raw,1.4,4.3,0.017,19
mustard spinach raw,3.3,5.9,0.5,33
orange tomato,1.3,3.5,0.2,18
string beans wellsley farms,0.3,1.7,0.0,8
spring onion scallions,0.4,1.5,0.077,6
jalapeno pepper,0.1,0.9,0.002,4
grape leaves,0.8,2.4,0.3,13
skunk cabbage,1.5,1.8,0.1,11
banana pepper,0.5,1.8,0.1,9
swamp cabbage,2.0,3.6,0.2,20
mung bean sprouts raw,0.6,1.2,0.044,6
peas raw,7.9,21.0,0.6,117
sweet corn yellow,4.1,14.2,0.4,58
chinese cabbage pak choi raw,1.1,1.5,0.1,9
green chili pepper,0.9,4.3,0.097,18
white corn raw,5.3,31.6,2.0,143
cornsalad,1.1,2.0,0.2,12
pepeao dried,1.2,19.4,0.1,72
oyster mushroom,0.5,0.9,0.035,5
cottage cheese creamed,2.2,0.7,0.9,20
cottage cheese low fat,28.0,6.1,2.3,163
cottage cheese nonfat,15.0,9.7,0.4,104
