food_name,protein,carbs,fat,calories
cheese pizza,12.2,35.7,10.4,285
cheese pizza dominos,11.7,35.9,9.7,278
meat vegetable pizza,15.0,34.5,14.8,332
sucker raw,26.6,0.0,3.7,146
northern pike raw,76.3,0.0,2.7,348
haddock cooked,30.0,0.0,0.8,135
burbot cooked,22.3,0.0,0.9,104
pollock cooked,75.3,0.0,3.8,356
rainbow smelt raw,5.0,0.0,0.7,27
whitefish cooked,37.7,0.0,11.6,265
walleye pike raw,30.4,0.0,1.9,148
carp cooked,38.9,0.0,12.2,275
wolffish cooked,53.4,0.0,7.3,293
snapper cooked,44.7,0.0,2.9,218
roe cooked,8.1,0.5,2.3,58
anchovy raw,5.8,0.0,1.4,37
herring raw,33.0,0.0,16.6,291
cod raw,41.1,0.0,1.5,189
tilapia raw,23.3,0.0,2.0,111
whiting cooked,16.9,0.0,1.2,84
skipjack tuna cooked,86.9,0.0,4.0,407
salmon cooked,78.7,0.0,44.0,733
chum salmon cooked,79.5,0.0,14.9,474
american shad cooked,31.3,0.0,25.4,363
shark cooked,5.3,1.8,3.9,65
trout cooked,16.5,0.0,5.3,118
swordfish raw,26.7,0.0,9.0,196
rainbow trout cooked,16.9,0.0,5.2,119
fish sandwich with cheese,15.1,35.4,19.6,374
jellyfish dried,3.2,0.0,0.8,21
mullet raw,23.0,0.0,4.5,139
halibut cooked,71.7,0.0,5.1,353
lingcod raw,44.2,0.0,2.7,213
orange roughy cooked,6.4,0.0,0.3,30
cisco raw,15.0,0.0,1.5,77
florida pompano cooked,20.8,0.0,10.7,186
snapper raw,44.7,0.0,2.9,218
fish sandwich,22.6,58.7,27.4,565
haddock raw,31.5,0.0,0.9,143
ocean perch raw,9.8,0.0,1.0,51
cuttlefish cooked,9.2,0.5,0.4,45
cod cooked,41.1,0.0,1.5,189
seatrout raw,39.8,0.0,8.6,248
flounder raw,20.2,0.0,3.1,114
spot cooked,11.9,0.0,3.1,79
walleye pike cooked,30.4,0.0,1.9,148
perch raw,11.6,0.0,0.6,55
pumpkin seed sunfish raw,9.3,0.0,0.3,43
salt mackerel,25.2,0.0,34.1,415
mackerel cooked,21.0,0.0,15.7,231
tilapia cooked,22.8,0.0,2.3,111
drum raw,34.7,0.0,9.8,236
atlantic croaker fried,15.8,6.6,11.0,192
pumpkin seed sunfish cooked,9.2,0.0,0.3,42
wolffish raw,53.6,0.0,7.3,294
bluefin tuna cooked,44.9,0.0,9.4,276
scup cooked,12.1,0.0,1.8,68
herring cooked,32.9,0.0,16.6,290
bluefish raw,30.1,0.0,6.4,186
sheepshead cooked,48.4,0.0,3.0,234
bass cooked,15.0,0.0,2.9,91
pout cooked,58.4,0.0,3.2,279
chinook salmon raw,78.9,0.0,41.3,709
rockfish raw,35.1,0.0,2.6,172
tilefish raw,67.6,0.0,8.9,371
scup raw,31.3,0.0,4.5,174
sablefish cooked,51.9,0.0,59.3,755
tuna salad,32.9,19.3,19.0,383
coho salmon cooked,34.7,0.0,11.8,255
roe raw,3.1,0.2,0.9,20
sea bass raw,23.8,0.0,2.6,125
pink salmon cooked,56.0,0.0,12.0,349
sockeye salmon cooked,82.1,0.0,17.3,493
whitefish raw,37.8,0.0,11.6,265
greenland halibut cooked,58.6,0.0,56.4,760
northern pike cooked,76.5,0.0,2.7,350
salmon raw,80.9,0.0,53.1,824
turbot cooked,65.4,0.0,12.0,388
surimi,4.3,1.9,0.3,28
chinook salmon cooked,79.2,0.0,41.2,711
mullet cooked,23.1,0.0,4.5,140
chum salmon raw,0.6,0.0,0.1,3
butterfish raw,5.5,0.0,2.6,47
sea bass cooked,23.9,0.0,2.6,125
greenland halibut raw,58.6,0.0,56.5,759
halibut raw,75.7,0.0,5.4,371
sturgeon cooked,28.2,0.0,7.0,184
fish fillet fried,13.3,15.4,11.2,211
rainbow trout raw,15.8,0.0,4.9,111
pout raw,58.6,0.0,3.2,278
rainbow smelt cooked,6.4,0.0,0.9,35
monkfish raw,4.1,0.0,0.4,22
trout raw,16.4,0.0,5.2,117
shark raw,5.9,0.0,1.3,37
burbot raw,22.4,0.0,0.9,104
dolphinfish cooked,37.7,0.0,1.4,173
crayfish cooked,5.0,0.0,0.4,25
dolphinfish raw,37.7,0.0,1.4,173
perch cooked,11.4,0.0,0.5,54
cusk raw,23.2,0.0,0.8,106
bluefin tuna raw,6.6,0.0,1.4,41
milkfish cooked,7.4,0.0,2.4,54
carp raw,38.9,0.0,12.2,277
sturgeon raw,4.6,0.0,1.1,30
orange roughy raw,4.6,0.0,0.2,22
catfish fried,15.7,7.0,11.6,199
cuttlefish raw,4.6,0.2,0.2,22
bass raw,14.9,0.0,2.9,90
flounder cooked,19.4,0.0,3.0,109
milkfish raw,5.8,0.0,1.9,42
eel raw,37.6,0.0,23.8,375
catfish raw,24.2,0.0,9.4,189
fish sticks,3.1,6.1,4.5,78
coho salmon raw,33.8,0.0,12.2,254
monkfish cooked,5.3,0.0,0.6,27
yellowtail cooked,86.6,0.0,19.6,546
